"D1","D2"
0.171463671684658,0.0343784606725783
0.100908221913267,0.0259479249768917
0.38882351912673,0.0515352817667696
0.322968917558356,0.0429118339660594
0.095730414501127,0.0247347321244571
0.09727317300993,0.0242987848483606
0.0945681780944951,0.022964393277414
0.137366923272352,0.0217682092286326
0.110623173012016,0.0265312490320498
0.106110245300443,0.0253775598636575
0.0966062355146901,0.0245649450700245
0.0982546902106631,0.0235409275024494
0.259420453281871,0.0436755689316173
0.218132821701041,0.0375882460789309
0.238700018367198,0.0432384043324781
0.211598841484229,0.0392977169964417
0.138975091185737,0.0310759834120505
0.154248829698556,0.0324103136898526
